file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)
CB12F_adTr_R1.fastq.gz	FASTQ	DNA	20851836	2846407337	75	136.5	151	123.0	151.0	151.0	0	151	98.14	94.63
CB12F_adTr_R2.fastq.gz	FASTQ	DNA	20851836	2847676177	75	136.6	151	123.0	151.0	151.0	0	151	97.51	93.42
CB12M_adTr_R1.fastq.gz	FASTQ	DNA	41054428	5750883624	75	140.1	151	133.0	151.0	151.0	0	151	98.26	94.74
CB12M_adTr_R2.fastq.gz	FASTQ	DNA	41054428	5757361228	75	140.2	151	134.0	151.0	151.0	0	151	96.16	90.92
CB78F_adTr_R1.fastq.gz	FASTQ	DNA	60645910	8428935520	75	139.0	151	130.0	151.0	151.0	0	151	98.27	94.91
CB78F_adTr_R2.fastq.gz	FASTQ	DNA	60645910	8432579390	75	139.0	151	130.0	151.0	151.0	0	151	97.60	93.62
CB78M_adTr_R1.fastq.gz	FASTQ	DNA	49624549	6936374639	75	139.8	151	132.0	151.0	151.0	0	151	98.32	94.95
CB78M_adTr_R2.fastq.gz	FASTQ	DNA	49624549	6937779203	75	139.8	151	132.0	151.0	151.0	0	151	97.74	93.73
CB910F_adTr_R1.fastq.gz	FASTQ	DNA	33400974	4651577173	75	139.3	151	131.0	151.0	151.0	0	151	98.27	94.88
CB910F_adTr_R2.fastq.gz	FASTQ	DNA	33400974	4654328755	75	139.3	151	131.0	151.0	151.0	0	151	97.32	93.26
CB910M_adTr_R1.fastq.gz	FASTQ	DNA	63856226	8835063693	75	138.4	151	128.0	151.0	151.0	0	151	98.34	95.02
CB910M_adTr_R2.fastq.gz	FASTQ	DNA	63856226	8841513648	75	138.5	151	128.0	151.0	151.0	0	151	97.55	93.52
L1A56F_adTr_R1.fastq.gz	FASTQ	DNA	53083132	7511452069	75	141.5	151	139.0	151.0	151.0	0	151	98.26	94.78
L1A56F_adTr_R2.fastq.gz	FASTQ	DNA	53083132	7513592105	75	141.5	151	140.0	151.0	151.0	0	151	97.08	92.42
L1A56M_adTr_R1.fastq.gz	FASTQ	DNA	44989022	6158615588	75	136.9	151	124.0	151.0	151.0	0	151	98.36	95.09
L1A56M_adTr_R2.fastq.gz	FASTQ	DNA	44989022	6163696041	75	137.0	151	124.0	151.0	151.0	0	151	97.67	93.92
L1A78F_adTr_R1.fastq.gz	FASTQ	DNA	43254327	6037517437	75	139.6	151	131.0	151.0	151.0	0	151	98.29	94.88
L1A78F_adTr_R2.fastq.gz	FASTQ	DNA	43254327	6039106539	75	139.6	151	131.0	151.0	151.0	0	151	97.71	93.68
L1A78M_adTr_R1.fastq.gz	FASTQ	DNA	43890149	6056119708	75	138.0	151	127.0	151.0	151.0	0	151	98.30	94.93
L1A78M_adTr_R2.fastq.gz	FASTQ	DNA	43890149	6058683603	75	138.0	151	127.0	151.0	151.0	0	151	97.73	93.87
L1A910F_adTr_R1.fastq.gz	FASTQ	DNA	45804831	6418815370	75	140.1	151	133.0	151.0	151.0	0	151	98.21	94.72
L1A910F_adTr_R2.fastq.gz	FASTQ	DNA	45804831	6419855820	75	140.2	151	133.0	151.0	151.0	0	151	97.71	93.77
L1A910M_adTr_R1.fastq.gz	FASTQ	DNA	70967423	9568084241	75	134.8	151	119.0	151.0	151.0	0	151	98.16	94.68
L1A910M_adTr_R2.fastq.gz	FASTQ	DNA	70967423	9578052736	75	135.0	151	119.0	151.0	151.0	0	151	97.54	93.69
L1B12F_adTr_R1.fastq.gz	FASTQ	DNA	27016623	3752496699	75	138.9	151	129.0	151.0	151.0	0	151	98.29	94.92
L1B12F_adTr_R2.fastq.gz	FASTQ	DNA	27016623	3755995396	75	139.0	151	130.0	151.0	151.0	0	151	96.73	92.14
L1B12M_adTr_R1.fastq.gz	FASTQ	DNA	41441570	5755946011	75	138.9	151	129.0	151.0	151.0	0	151	98.32	94.94
L1B12M_adTr_R2.fastq.gz	FASTQ	DNA	41441570	5758467413	75	139.0	151	130.0	151.0	151.0	0	151	97.72	93.75
L1B67F_adTr_R1.fastq.gz	FASTQ	DNA	33612129	4651483981	75	138.4	151	128.0	151.0	151.0	0	151	98.28	94.90
L1B67F_adTr_R2.fastq.gz	FASTQ	DNA	33612129	4653833493	75	138.5	151	128.0	151.0	151.0	0	151	97.26	92.79
L1B67M_adTr_R1.fastq.gz	FASTQ	DNA	46538772	6363518860	75	136.7	151	124.0	151.0	151.0	0	151	98.32	94.94
L1B67M_adTr_R2.fastq.gz	FASTQ	DNA	46538772	6365854933	75	136.8	151	124.0	151.0	151.0	0	151	97.85	94.15
L1B810F_adTr_R1.fastq.gz	FASTQ	DNA	40396532	5625048145	75	139.2	151	130.0	151.0	151.0	0	151	98.19	94.69
L1B810F_adTr_R2.fastq.gz	FASTQ	DNA	40396532	5627493348	75	139.3	151	130.0	151.0	151.0	0	151	97.33	93.29
L1B810M_adTr_R1.fastq.gz	FASTQ	DNA	34788228	4767544570	75	137.0	151	124.0	151.0	151.0	0	151	98.33	95.02
L1B810M_adTr_R2.fastq.gz	FASTQ	DNA	34788228	4775828931	75	137.3	151	125.0	151.0	151.0	0	151	96.73	92.35
L2A12F_adTr_R1.fastq.gz	FASTQ	DNA	68888692	9566604785	75	138.9	151	130.0	151.0	151.0	0	151	98.34	95.01
L2A12F_adTr_R2.fastq.gz	FASTQ	DNA	68888692	9569106521	75	138.9	151	130.0	151.0	151.0	0	151	97.90	94.18
L2A12M_adTr_R1.fastq.gz	FASTQ	DNA	74441722	10237937624	75	137.5	151	125.0	151.0	151.0	0	151	98.25	94.79
L2A12M_adTr_R2.fastq.gz	FASTQ	DNA	74441722	10243024280	75	137.6	151	126.0	151.0	151.0	0	151	97.37	93.24
L2A34F_adTr_R1.fastq.gz	FASTQ	DNA	38880996	5514629017	75	141.8	151	140.0	151.0	151.0	0	151	98.32	94.94
