file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	sample
CB12F_mrna_fwd.fq.gz	FASTQ	DNA	18591863	2540696812	75	136.7	151	123.0	151.0	151.0	0	151	98.12	94.58	C-B-1-2-F_mrna_fwd.fq.gz
CB12F_mrna_rev.fq.gz	FASTQ	DNA	18591863	2541637675	75	136.7	151	123.0	151.0	151.0	0	151	97.53	93.49	C-B-1-2-F_mrna_rev.fq.gz
CB12M_mrna_fwd.fq.gz	FASTQ	DNA	36567335	5122456986	75	140.1	151	133.0	151.0	151.0	0	151	98.24	94.71	C-B-1-2-M_mrna_fwd.fq.gz
CB12M_mrna_rev.fq.gz	FASTQ	DNA	36567335	5127870656	75	140.2	151	134.0	151.0	151.0	0	151	96.18	91.03	C-B-1-2-M_mrna_rev.fq.gz
CB78F_mrna_fwd.fq.gz	FASTQ	DNA	56119443	7809780770	75	139.2	151	130.0	151.0	151.0	0	151	98.26	94.89	C-B-7-8-F_mrna_fwd.fq.gz
CB78F_mrna_rev.fq.gz	FASTQ	DNA	56119443	7812742299	75	139.2	151	130.0	151.0	151.0	0	151	97.61	93.68	C-B-7-8-F_mrna_rev.fq.gz
CB78M_mrna_fwd.fq.gz	FASTQ	DNA	45167744	6319398083	75	139.9	151	132.0	151.0	151.0	0	151	98.31	94.93	C-B-7-8-M_mrna_fwd.fq.gz
CB78M_mrna_rev.fq.gz	FASTQ	DNA	45167744	6320319020	75	139.9	151	133.0	151.0	151.0	0	151	97.76	93.82	C-B-7-8-M_mrna_rev.fq.gz
CB910F_mrna_fwd.fq.gz	FASTQ	DNA	30892320	4307279117	75	139.4	151	131.0	151.0	151.0	0	151	98.26	94.85	C-B-9-10-F_mrna_fwd.fq.gz
CB910F_mrna_rev.fq.gz	FASTQ	DNA	30892320	4309567811	75	139.5	151	131.0	151.0	151.0	0	151	97.34	93.32	C-B-9-10-F_mrna_rev.fq.gz
CB910M_mrna_fwd.fq.gz	FASTQ	DNA	57116505	7907024534	75	138.4	151	128.0	151.0	151.0	0	151	98.33	95.01	C-B-9-10-M_mrna_fwd.fq.gz
CB910M_mrna_rev.fq.gz	FASTQ	DNA	57116505	7912253430	75	138.5	151	129.0	151.0	151.0	0	151	97.58	93.62	C-B-9-10-M_mrna_rev.fq.gz
L1A56F_mrna_fwd.fq.gz	FASTQ	DNA	48465981	6864748941	75	141.6	151	140.0	151.0	151.0	0	151	98.24	94.76	L1-A-5-6-F_mrna_fwd.fq.gz
L1A56F_mrna_rev.fq.gz	FASTQ	DNA	48465981	6866394474	75	141.7	151	140.0	151.0	151.0	0	151	97.09	92.49	L1-A-5-6-F_mrna_rev.fq.gz
L1A56M_mrna_fwd.fq.gz	FASTQ	DNA	40099728	5499382020	75	137.1	151	125.0	151.0	151.0	0	151	98.33	95.05	L1-A-5-6-M_mrna_fwd.fq.gz
L1A56M_mrna_rev.fq.gz	FASTQ	DNA	40099728	5503484072	75	137.2	151	125.0	151.0	151.0	0	151	97.69	94.02	L1-A-5-6-M_mrna_rev.fq.gz
L1A78F_mrna_fwd.fq.gz	FASTQ	DNA	39443563	5511845933	75	139.7	151	132.0	151.0	151.0	0	151	98.27	94.87	L1-A-7-8-F_mrna_fwd.fq.gz
L1A78F_mrna_rev.fq.gz	FASTQ	DNA	39443563	5512985239	75	139.8	151	132.0	151.0	151.0	0	151	97.72	93.76	L1-A-7-8-F_mrna_rev.fq.gz
L1A78M_mrna_fwd.fq.gz	FASTQ	DNA	39850334	5504905379	75	138.1	151	127.0	151.0	151.0	0	151	98.27	94.90	L1-A-7-8-M_mrna_fwd.fq.gz
L1A78M_mrna_rev.fq.gz	FASTQ	DNA	39850334	5506916359	75	138.2	151	127.0	151.0	151.0	0	151	97.75	93.96	L1-A-7-8-M_mrna_rev.fq.gz
L1A910F_mrna_fwd.fq.gz	FASTQ	DNA	42112665	5908537454	75	140.3	151	134.0	151.0	151.0	0	151	98.20	94.69	L1-A-9-10-F_mrna_fwd.fq.gz
L1A910F_mrna_rev.fq.gz	FASTQ	DNA	42112665	5909212025	75	140.3	151	134.0	151.0	151.0	0	151	97.72	93.84	L1-A-9-10-F_mrna_rev.fq.gz
L1A910M_mrna_fwd.fq.gz	FASTQ	DNA	64418068	8696174399	75	135.0	151	119.0	151.0	151.0	0	151	98.13	94.64	L1-A-9-10-M_mrna_fwd.fq.gz
L1A910M_mrna_rev.fq.gz	FASTQ	DNA	64418068	8704626280	75	135.1	151	120.0	151.0	151.0	0	151	97.57	93.79	L1-A-9-10-M_mrna_rev.fq.gz
L1B12F_mrna_fwd.fq.gz	FASTQ	DNA	24458277	3403178026	75	139.1	151	130.0	151.0	151.0	0	151	98.27	94.89	L1-B-1-2-F_mrna_fwd.fq.gz
L1B12F_mrna_rev.fq.gz	FASTQ	DNA	24458277	3406081655	75	139.3	151	131.0	151.0	151.0	0	151	96.74	92.21	L1-B-1-2-F_mrna_rev.fq.gz
L1B12M_mrna_fwd.fq.gz	FASTQ	DNA	36497657	5077185256	75	139.1	151	130.0	151.0	151.0	0	151	98.30	94.90	L1-B-1-2-M_mrna_fwd.fq.gz
L1B12M_mrna_rev.fq.gz	FASTQ	DNA	36497657	5078979985	75	139.2	151	130.0	151.0	151.0	0	151	97.74	93.86	L1-B-1-2-M_mrna_rev.fq.gz
L1B67F_mrna_fwd.fq.gz	FASTQ	DNA	30583302	4239535204	75	138.6	151	129.0	151.0	151.0	0	151	98.25	94.86	L1-B-6-7-F_mrna_fwd.fq.gz
L1B67F_mrna_rev.fq.gz	FASTQ	DNA	30583302	4241331299	75	138.7	151	129.0	151.0	151.0	0	151	97.29	92.88	L1-B-6-7-F_mrna_rev.fq.gz
L1B67M_mrna_fwd.fq.gz	FASTQ	DNA	40578671	5559663610	75	137.0	151	124.0	151.0	151.0	0	151	98.28	94.89	L1-B-6-7-M_mrna_fwd.fq.gz
L1B67M_mrna_rev.fq.gz	FASTQ	DNA	40578671	5561119202	75	137.0	151	125.0	151.0	151.0	0	151	97.88	94.26	L1-B-6-7-M_mrna_rev.fq.gz
L1B810F_mrna_fwd.fq.gz	FASTQ	DNA	37390052	5213035061	75	139.4	151	131.0	151.0	151.0	0	151	98.18	94.67	L1-B-8-10-F_mrna_fwd.fq.gz
L1B810F_mrna_rev.fq.gz	FASTQ	DNA	37390052	5214993379	75	139.5	151	131.0	151.0	151.0	0	151	97.35	93.36	L1-B-8-10-F_mrna_rev.fq.gz
L1B810M_mrna_fwd.fq.gz	FASTQ	DNA	30345161	4165538120	75	137.3	151	125.0	151.0	151.0	0	151	98.30	94.98	L1-B-8-10-M_mrna_fwd.fq.gz
L1B810M_mrna_rev.fq.gz	FASTQ	DNA	30345161	4172385473	75	137.5	151	125.0	151.0	151.0	0	151	96.75	92.47	L1-B-8-10-M_mrna_rev.fq.gz
