sel_line	chr_t	sd	n	n_mb	n_fb	n_mb2fc	n_fb2fc	n_t
C	<100kb	1.705	0	0	0	0	0	NA
C	A	1.705	14674	3385	3493	1169	826	31727
C	X	1.705	621	98	145	11	43	1842
C	Y	1.705	0	0	0	0	0	NA
L1	<100kb	2.035	0	0	0	0	0	NA
L1	A	2.035	15419	5112	4981	1439	992	31727
L1	X	2.035	632	186	201	16	53	1842
L1	Y	2.035	0	0	0	0	0	NA
L2	<100kb	1.67	0	0	0	0	0	NA
L2	A	1.67	16243	5082	4663	1381	851	31727
L2	X	1.67	681	192	186	17	45	1842
L2	Y	1.67	0	0	0	0	0	NA
L3	<100kb	1.12	0	0	0	0	0	NA
L3	A	1.12	16376	4959	4714	1450	859	31727
L3	X	1.12	677	186	180	16	41	1842
L3	Y	1.12	0	0	0	0	0	NA
SA	<100kb	2.315	0	0	0	0	0	NA
SA	A	2.315	16526	5381	4152	1549	739	31727
SA	X	2.315	691	216	152	20	40	1842
SA	Y	2.315	0	0	0	0	0	NA
